what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050668406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1350050668446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050683379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1350050725856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1350050809388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350050810190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050822201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050822351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1350050910381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350050919572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350050925192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350050929583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350050935280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1350050948612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350050965345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350050974308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050981289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050982509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050983399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050984959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350050985129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051005741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051006691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051011833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051040388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051099237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051101607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051103307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051104067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051105457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051105607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051112738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051116999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051118829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051120859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051121510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051123080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051123220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051128392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051133093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051139334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051141975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051143216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051144956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051146028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051146758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051147458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051149469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051149619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051193276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051204448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051205568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051205938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051206688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051208039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051208199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051212719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1350051215160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051216120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051216980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051218020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051218700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051219940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051220110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051240423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1350051244654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051246634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051247964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051248264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051249354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051250085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051251195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051251325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051259076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051260097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051261218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1350051325478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051326168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051327378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051328028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051329019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051329159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051342131
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350051343661
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051348532
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051354932
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051355682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350051388797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051391349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051392639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051393299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051395170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051395350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051485255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051490286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350051556438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051569239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350051608106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051613737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350051651739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051653449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051654529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051655509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051657900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051660630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051663160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350051665751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051673982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051704796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051777005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051779175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051786767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051789127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051798029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350051799529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051888886
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051901568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051909479
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051924530
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1350051926751
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350051927001
