what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351622964732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1351622980613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351622985402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351622987134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623115725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623121232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623252537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623276671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623329539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623329617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623332144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623332331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623386635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623386791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623395636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623395808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1351623456788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1351623590652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623591635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623594147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351623595379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623599716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623599778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1351623601931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1351623616034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623618826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623619856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623619871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623633787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351623633803
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351623641338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1351623691367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623693707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623694690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623694705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623705844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351623705859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623707809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623726037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351623728626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351623735381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623737237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623738563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623738563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351623758578
