what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344000946415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344000947804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344000952796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344000968461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344000973017
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344000989833
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1344000993671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344000998413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344001016153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344001025247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344001027026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344001035153
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344001083982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344001088677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344001100471
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344001100642
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344001100705
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344001100752
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344001102280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344001114480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344001122358
